dZ2017,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.005,0.833,0.837,0.812,0.835,0.842,0.813,0.841,0.849,0.811,0.863,0.86,0.813,0.812,0.213,0.401,0.409
0.01,0.94,0.943,0.922,0.942,0.945,0.923,0.944,0.948,0.921,0.953,0.952,0.921,0.919,0.347,0.584,0.536
0.015,0.964,0.967,0.953,0.967,0.968,0.953,0.968,0.97,0.952,0.974,0.973,0.952,0.948,0.445,0.687,0.597
0.02,0.975,0.976,0.968,0.977,0.978,0.967,0.978,0.979,0.967,0.982,0.981,0.967,0.962,0.52,0.754,0.641
0.025,0.98,0.981,0.975,0.983,0.983,0.975,0.983,0.984,0.975,0.987,0.986,0.975,0.97,0.58,0.801,0.673
0.03,0.984,0.984,0.98,0.986,0.986,0.981,0.987,0.987,0.98,0.99,0.988,0.98,0.975,0.629,0.835,0.698
0.035,0.987,0.987,0.984,0.988,0.988,0.985,0.989,0.989,0.984,0.992,0.99,0.984,0.979,0.669,0.861,0.719
0.04,0.988,0.989,0.986,0.99,0.99,0.987,0.99,0.991,0.986,0.993,0.992,0.987,0.982,0.704,0.881,0.735
0.045,0.99,0.99,0.988,0.991,0.991,0.989,0.991,0.992,0.988,0.994,0.993,0.988,0.985,0.733,0.897,0.748
0.05,0.991,0.991,0.99,0.992,0.992,0.99,0.992,0.993,0.99,0.994,0.994,0.99,0.986,0.759,0.911,0.759
0.055,0.992,0.992,0.991,0.993,0.993,0.992,0.993,0.993,0.991,0.995,0.994,0.991,0.988,0.781,0.922,0.769
0.06,0.993,0.993,0.992,0.994,0.994,0.993,0.994,0.994,0.992,0.996,0.995,0.992,0.989,0.8,0.931,0.778
0.065,0.994,0.994,0.993,0.995,0.995,0.994,0.995,0.995,0.993,0.996,0.996,0.994,0.991,0.818,0.939,0.788
0.07,0.994,0.995,0.994,0.995,0.995,0.994,0.996,0.996,0.994,0.997,0.996,0.994,0.992,0.833,0.946,0.794
0.075,0.995,0.995,0.995,0.996,0.996,0.995,0.996,0.996,0.995,0.997,0.997,0.995,0.993,0.846,0.951,0.8
0.08,0.995,0.996,0.995,0.996,0.996,0.996,0.997,0.997,0.995,0.998,0.997,0.996,0.993,0.859,0.956,0.806
0.085,0.996,0.996,0.996,0.997,0.997,0.996,0.997,0.997,0.996,0.998,0.998,0.996,0.994,0.869,0.961,0.811
0.09,0.996,0.996,0.996,0.997,0.997,0.997,0.997,0.997,0.996,0.998,0.998,0.997,0.995,0.879,0.964,0.816
0.095,0.997,0.997,0.997,0.997,0.997,0.997,0.998,0.998,0.997,0.998,0.998,0.997,0.995,0.888,0.968,0.82
0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
