Rel2018,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.02,0.371,0.343,0.464,0.385,0.377,0.464,0.409,0.414,0.467,0.547,0.508,0.476,0.445,0.008,0.005,0.024
0.04,0.495,0.457,0.604,0.513,0.504,0.603,0.543,0.55,0.608,0.717,0.673,0.62,0.586,0.012,0.007,0.032
0.06,0.578,0.539,0.69,0.598,0.588,0.688,0.629,0.636,0.692,0.808,0.764,0.705,0.673,0.015,0.009,0.039
0.08,0.639,0.601,0.744,0.658,0.648,0.744,0.685,0.692,0.748,0.863,0.822,0.762,0.73,0.019,0.011,0.045
0.1,0.685,0.649,0.783,0.703,0.691,0.784,0.726,0.734,0.789,0.897,0.858,0.801,0.771,0.023,0.013,0.05
0.12,0.721,0.687,0.811,0.736,0.725,0.813,0.758,0.764,0.817,0.919,0.883,0.83,0.801,0.027,0.016,0.056
0.14,0.749,0.718,0.833,0.763,0.751,0.834,0.783,0.788,0.84,0.935,0.901,0.853,0.824,0.032,0.018,0.06
0.16,0.772,0.743,0.85,0.785,0.773,0.851,0.803,0.806,0.857,0.946,0.914,0.87,0.842,0.037,0.02,0.064
0.18,0.792,0.763,0.863,0.802,0.79,0.865,0.819,0.822,0.872,0.954,0.924,0.883,0.857,0.042,0.023,0.068
0.2,0.808,0.782,0.875,0.818,0.805,0.878,0.833,0.835,0.884,0.959,0.931,0.894,0.869,0.048,0.025,0.072
0.22,0.822,0.797,0.885,0.83,0.818,0.887,0.844,0.845,0.893,0.964,0.938,0.903,0.879,0.053,0.028,0.075
0.24,0.834,0.811,0.893,0.841,0.829,0.895,0.855,0.855,0.901,0.967,0.943,0.911,0.887,0.059,0.031,0.079
0.26,0.844,0.822,0.9,0.85,0.839,0.902,0.864,0.863,0.908,0.97,0.947,0.917,0.895,0.066,0.033,0.082
0.28,0.853,0.833,0.906,0.859,0.847,0.908,0.872,0.871,0.914,0.972,0.951,0.923,0.901,0.072,0.036,0.086
0.3,0.861,0.841,0.911,0.866,0.855,0.913,0.879,0.878,0.919,0.974,0.954,0.927,0.906,0.079,0.039,0.089
0.32,0.868,0.849,0.915,0.873,0.861,0.918,0.885,0.884,0.923,0.976,0.956,0.932,0.911,0.086,0.043,0.091
0.34,0.875,0.856,0.919,0.879,0.867,0.922,0.891,0.89,0.927,0.977,0.958,0.936,0.916,0.093,0.046,0.094
0.36,0.88,0.862,0.923,0.884,0.873,0.926,0.896,0.895,0.93,0.979,0.961,0.939,0.92,0.1,0.049,0.097
0.38,0.885,0.869,0.927,0.888,0.878,0.929,0.901,0.9,0.934,0.98,0.963,0.942,0.923,0.107,0.053,0.1
0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
