Mini2018,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.02,0.682,0.645,0.757,0.7,0.683,0.754,0.736,0.737,0.755,0.897,0.853,0.763,0.751,0.02,0.007,0.052
0.04,0.776,0.739,0.839,0.793,0.777,0.837,0.823,0.822,0.839,0.946,0.908,0.847,0.835,0.027,0.01,0.063
0.06,0.831,0.799,0.882,0.846,0.829,0.879,0.868,0.865,0.883,0.966,0.933,0.89,0.879,0.034,0.012,0.072
0.08,0.865,0.838,0.908,0.878,0.862,0.905,0.897,0.892,0.909,0.976,0.946,0.915,0.905,0.041,0.015,0.081
0.1,0.89,0.865,0.924,0.9,0.884,0.923,0.916,0.91,0.926,0.982,0.955,0.932,0.923,0.048,0.018,0.091
0.12,0.907,0.885,0.935,0.916,0.9,0.935,0.929,0.922,0.938,0.985,0.96,0.943,0.935,0.056,0.021,0.099
0.14,0.92,0.901,0.944,0.927,0.912,0.944,0.939,0.931,0.946,0.988,0.965,0.951,0.944,0.064,0.024,0.108
0.16,0.93,0.913,0.951,0.936,0.922,0.951,0.946,0.938,0.953,0.99,0.968,0.957,0.95,0.072,0.027,0.116
0.18,0.938,0.924,0.956,0.943,0.929,0.956,0.952,0.944,0.958,0.991,0.97,0.962,0.956,0.081,0.03,0.123
0.2,0.944,0.931,0.96,0.948,0.935,0.96,0.957,0.949,0.963,0.992,0.973,0.966,0.96,0.089,0.033,0.131
0.22,0.95,0.938,0.963,0.953,0.941,0.963,0.961,0.953,0.966,0.993,0.974,0.969,0.963,0.098,0.037,0.137
0.24,0.954,0.943,0.966,0.957,0.945,0.966,0.964,0.957,0.968,0.993,0.976,0.971,0.966,0.108,0.04,0.143
0.26,0.957,0.948,0.968,0.96,0.948,0.968,0.967,0.96,0.971,0.994,0.977,0.974,0.969,0.117,0.044,0.149
0.28,0.961,0.952,0.971,0.963,0.951,0.971,0.97,0.962,0.973,0.994,0.978,0.975,0.971,0.127,0.048,0.156
0.3,0.963,0.955,0.973,0.965,0.954,0.972,0.972,0.965,0.975,0.995,0.979,0.977,0.973,0.136,0.052,0.163
0.32,0.965,0.958,0.974,0.967,0.957,0.974,0.973,0.967,0.976,0.995,0.98,0.978,0.974,0.146,0.056,0.169
0.34,0.967,0.961,0.975,0.969,0.959,0.975,0.975,0.969,0.977,0.995,0.981,0.979,0.976,0.156,0.061,0.176
0.36,0.969,0.963,0.977,0.971,0.961,0.976,0.977,0.97,0.978,0.996,0.982,0.981,0.977,0.166,0.065,0.182
0.38,0.971,0.965,0.978,0.972,0.963,0.977,0.978,0.972,0.979,0.996,0.983,0.982,0.978,0.175,0.07,0.187
0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
