Mini2017,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.02,0.698,0.667,0.772,0.727,0.711,0.774,0.758,0.756,0.773,0.905,0.862,0.776,0.768,0.059,0.031,0.136
0.04,0.798,0.771,0.859,0.824,0.808,0.858,0.849,0.843,0.857,0.955,0.919,0.862,0.855,0.081,0.043,0.17
0.06,0.857,0.833,0.902,0.878,0.861,0.901,0.896,0.888,0.9,0.975,0.943,0.905,0.899,0.103,0.055,0.2
0.08,0.893,0.873,0.928,0.91,0.894,0.927,0.923,0.914,0.925,0.984,0.955,0.93,0.925,0.126,0.067,0.229
0.1,0.918,0.9,0.943,0.931,0.915,0.942,0.941,0.931,0.942,0.988,0.963,0.945,0.941,0.149,0.08,0.255
0.12,0.935,0.92,0.954,0.946,0.931,0.954,0.954,0.943,0.952,0.992,0.968,0.956,0.953,0.174,0.093,0.285
0.14,0.948,0.935,0.963,0.956,0.942,0.962,0.963,0.951,0.96,0.994,0.972,0.963,0.961,0.199,0.105,0.304
0.16,0.957,0.946,0.968,0.965,0.95,0.968,0.969,0.958,0.967,0.995,0.975,0.969,0.967,0.225,0.119,0.326
0.18,0.964,0.955,0.973,0.971,0.957,0.973,0.974,0.963,0.972,0.996,0.977,0.974,0.971,0.251,0.134,0.349
0.2,0.97,0.962,0.977,0.975,0.962,0.976,0.978,0.967,0.975,0.997,0.979,0.977,0.975,0.278,0.148,0.374
0.22,0.975,0.968,0.979,0.979,0.966,0.979,0.982,0.97,0.978,0.997,0.98,0.979,0.978,0.305,0.162,0.396
0.24,0.979,0.972,0.982,0.982,0.97,0.982,0.984,0.973,0.981,0.998,0.982,0.982,0.98,0.332,0.177,0.416
0.26,0.982,0.976,0.984,0.985,0.973,0.984,0.987,0.975,0.983,0.998,0.983,0.983,0.982,0.359,0.193,0.433
0.28,0.985,0.979,0.985,0.987,0.976,0.985,0.988,0.978,0.984,0.998,0.984,0.985,0.984,0.386,0.209,0.457
0.3,0.986,0.982,0.987,0.988,0.978,0.986,0.99,0.979,0.985,0.999,0.985,0.987,0.985,0.413,0.225,0.478
0.32,0.988,0.984,0.988,0.99,0.979,0.988,0.991,0.981,0.987,0.999,0.986,0.988,0.987,0.439,0.242,0.496
0.34,0.99,0.986,0.989,0.991,0.981,0.989,0.992,0.982,0.988,0.999,0.986,0.988,0.988,0.465,0.258,0.519
0.36,0.991,0.988,0.99,0.992,0.982,0.989,0.993,0.984,0.989,0.999,0.987,0.989,0.989,0.49,0.275,0.539
0.38,0.992,0.99,0.991,0.993,0.984,0.99,0.994,0.985,0.989,0.999,0.987,0.99,0.989,0.514,0.291,0.554
0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
