SIP2017,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.5,0.205,0.205,0.217,0.214,0.222,0.217,0.225,0.233,0.217,0.271,0.27,0.222,0.24,0.023,0.047,0.088
1,0.549,0.552,0.557,0.563,0.58,0.554,0.578,0.595,0.552,0.642,0.641,0.561,0.581,0.07,0.144,0.236
1.5,0.768,0.773,0.755,0.781,0.793,0.754,0.789,0.805,0.754,0.833,0.832,0.757,0.767,0.116,0.235,0.363
2,0.867,0.873,0.839,0.875,0.883,0.84,0.879,0.891,0.838,0.903,0.902,0.837,0.843,0.151,0.298,0.431
2.5,0.91,0.915,0.875,0.914,0.922,0.877,0.916,0.924,0.873,0.931,0.929,0.872,0.875,0.177,0.343,0.479
3,0.934,0.94,0.903,0.938,0.945,0.902,0.94,0.947,0.901,0.953,0.951,0.898,0.901,0.204,0.385,0.505
3.5,0.952,0.957,0.924,0.955,0.961,0.923,0.957,0.964,0.922,0.969,0.968,0.919,0.922,0.236,0.43,0.534
4,0.964,0.968,0.938,0.967,0.972,0.938,0.969,0.974,0.937,0.978,0.977,0.934,0.937,0.267,0.472,0.558
4.5,0.972,0.976,0.949,0.975,0.979,0.949,0.976,0.981,0.948,0.984,0.983,0.945,0.947,0.297,0.509,0.579
5,0.977,0.981,0.957,0.98,0.984,0.957,0.981,0.985,0.956,0.988,0.987,0.954,0.955,0.325,0.543,0.601
5.5,0.981,0.985,0.963,0.984,0.987,0.964,0.985,0.988,0.962,0.991,0.99,0.96,0.962,0.352,0.574,0.618
6,0.985,0.987,0.968,0.987,0.99,0.969,0.987,0.99,0.967,0.992,0.992,0.965,0.967,0.377,0.601,0.638
6.5,0.987,0.989,0.972,0.989,0.991,0.972,0.99,0.992,0.971,0.994,0.993,0.969,0.971,0.401,0.627,0.65
7,0.99,0.991,0.975,0.99,0.993,0.976,0.991,0.993,0.975,0.995,0.994,0.973,0.974,0.423,0.65,0.664
7.5,0.991,0.993,0.978,0.992,0.994,0.979,0.992,0.994,0.978,0.995,0.995,0.976,0.977,0.445,0.672,0.678
8,0.992,0.994,0.981,0.993,0.995,0.981,0.993,0.995,0.98,0.996,0.996,0.978,0.98,0.465,0.691,0.691
8.5,0.993,0.995,0.983,0.994,0.995,0.983,0.994,0.996,0.982,0.997,0.996,0.981,0.982,0.485,0.709,0.703
9,0.994,0.996,0.985,0.995,0.996,0.984,0.995,0.996,0.984,0.997,0.997,0.983,0.984,0.503,0.726,0.714
9.5,0.995,0.996,0.986,0.996,0.997,0.986,0.996,0.997,0.985,0.998,0.997,0.985,0.986,0.521,0.742,0.725
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
